image_relpath,num_detections
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,34
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3090.JPG,38
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3091.JPG,30
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,42
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3093.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094.JPG,22
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3095.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3096.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097.JPG,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3098.JPG,32
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3099.JPG,16
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,30
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,36
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,37
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,29
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3105.JPG,23
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,16
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3107.JPG,16
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108.JPG,32
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,32
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,38
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,20
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3112.JPG,28
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,41
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3114.JPG,21
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115.JPG,32
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3116.JPG,34
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3117.JPG,43
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3118.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,17
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3121.JPG,24
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3122.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123.JPG,36
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3124.JPG,29
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125.JPG,26
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126.JPG,9
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127.JPG,7
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128.JPG,22
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3129.JPG,43
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130.JPG,38
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3131.JPG,54
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3132.JPG,28
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,10
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135.JPG,13
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3136.JPG,12
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137.JPG,14
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3144.JPG,8
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3145.JPG,18
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3146.JPG,15
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3147.JPG,16
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3148.JPG,17
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3149.JPG,14
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3150.JPG,19
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3151.JPG,18
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3152.JPG,34
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3153.JPG,20
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3154.JPG,20
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3155.JPG,25
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3156.JPG,14
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3157.JPG,11
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3158.JPG,23
Coral Garden\2024_JUL_CG_S\CG-S_T2\GOPR3159.JPG,28
