directory,gopr_folder,patch_number,patch_relpath,source_image_relpath,confidence,grabcut_applied
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,3,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral3.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.5279,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,8,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral8.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.362,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,11,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral11.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.2541,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.2113,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088,GOPR3088,14,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral14.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,0.1868,True
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,6,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral6.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.5338,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,9,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral9.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.4307,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,12,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral12.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.3437,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,15,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral15.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.33,False
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089,GOPR3089,16,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089\Coral16.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3089.JPG,0.3273,True
