source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4837.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4837\Coral1.JPG,1,0.6635,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4857\Coral3.JPG,3,0.2041,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3106\Coral12.JPG,12,0.2082,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4851\Coral4.JPG,4,0.65,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3133\Coral8.JPG,8,0.1874,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3111\Coral13.JPG,13,0.3531,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4861\Coral19.JPG,19,0.1851,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3102\Coral13.JPG,13,0.2955,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3104\Coral10.JPG,10,0.467,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852\Coral2.JPG,2,0.6982,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3110\Coral5.JPG,5,0.6542,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3119\Coral6.JPG,6,0.3279,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097\Coral2.JPG,2,0.7474,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4868.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4868\Coral1.JPG,1,0.3117,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4867.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4867\Coral1.JPG,1,0.2607,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3113\Coral11.JPG,11,0.5218,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4886\Coral22.JPG,22,0.196,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4864\Coral1.JPG,1,0.6671,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3092\Coral22.JPG,22,0.3372,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4845\Coral2.JPG,2,0.5563,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3109\Coral22.JPG,22,0.2187,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4841\Coral4.JPG,4,0.4683,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3088\Coral15.JPG,15,0.1774,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3123\Coral4.JPG,4,0.6415,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826\Coral16.JPG,16,0.3458,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4849\Coral47.JPG,47,0.1785,Coral Garden S,T1,1
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4859\Coral9.JPG,9,0.2866,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3128\Coral1.JPG,1,0.8419,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3134\Coral2.JPG,2,0.4104,Coral Garden S,T1,2
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4854\Coral8.JPG,8,0.2407,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4832.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4832\Coral2.JPG,2,0.1781,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3135\Coral2.JPG,2,0.4548,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126\Coral1.JPG,1,0.4752,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4858\Coral3.JPG,3,0.4248,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4828\Coral5.JPG,5,0.4237,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3100\Coral19.JPG,19,0.2291,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094\Coral17.JPG,17,0.2326,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3103\Coral2.JPG,2,0.8332,Coral Garden S,T1,1
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115\Coral6.JPG,6,0.4438,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3127\Coral7.JPG,7,0.1501,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4838.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4838\Coral1.JPG,1,0.2259,Coral Garden S,T1,5
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4863.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4863\Coral15.JPG,15,0.344,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4853\Coral3.JPG,3,0.8042,Coral Garden S,T1,4
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4839.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4839\Coral3.JPG,3,0.3864,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130\Coral27.JPG,27,0.2788,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4836.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4836\Coral1.JPG,1,0.8478,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3125\Coral3.JPG,3,0.5992,Coral Garden S,T1,2
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120\Coral10.JPG,10,0.287,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4881\Coral10.JPG,10,0.3219,Coral Garden S,T1,4
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3137\Coral11.JPG,11,0.1775,Coral Garden S,T1,5
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3116.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3116\Coral15.JPG,15,0.2889,Coral Garden S,T1,1
