source_image_relpath,patch_relpath,patch_index,confidence,monitoring_station,transect,assigned_annotator
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4852\Coral2.JPG,2,0.6982,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3097\Coral2.JPG,2,0.7474,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4826\Coral16.JPG,16,0.3458,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4832.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4832\Coral2.JPG,2,0.1781,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3126\Coral1.JPG,1,0.4752,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3094\Coral17.JPG,17,0.2326,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3115\Coral6.JPG,6,0.4438,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4839.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4839\Coral3.JPG,3,0.3864,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3130\Coral27.JPG,27,0.2788,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3120\Coral10.JPG,10,0.287,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3136.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3136\Coral9.JPG,9,0.193,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3108\Coral6.JPG,6,0.4388,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3122.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3122\Coral7.JPG,7,0.3206,Coral Garden S,T1,3
Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4866.JPG,Coral Garden\2024_AUG_CG_S\2024_AUG_CG_S_T1\GOPR4866\Coral1.JPG,1,0.7314,Coral Garden S,T1,3
Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101.JPG,Coral Garden\2024_JUL_CG_S\CG-S_T1\GOPR3101\Coral3.JPG,3,0.6288,Coral Garden S,T1,3
