epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.91605,1.77709,1.79694,1.8594,0.51206,0.38642,0.41366,0.19991,1.78671,1.83412,1.83759,6.58824e-06,6.58824e-06,0.0670654
2,26.5684,1.64554,1.55975,1.71905,0.60343,0.44125,0.50112,0.2172,1.86317,1.67777,1.82302,1.30909e-05,1.30909e-05,0.0337386
3,37.5241,1.60696,1.52018,1.68803,0.57627,0.46517,0.5185,0.23418,1.81617,1.61457,1.78279,1.94285e-05,1.94285e-05,0.000411585
4,46.0357,1.59835,1.49669,1.6796,0.56412,0.48042,0.51911,0.23312,1.81963,1.612,1.78631,1.92575e-05,1.92575e-05,1.92575e-05
5,54.4456,1.59718,1.49684,1.6757,0.5607,0.49086,0.51838,0.23842,1.80514,1.59784,1.77843,1.901e-05,1.901e-05,1.901e-05
6,62.968,1.59151,1.50047,1.67546,0.58185,0.48564,0.52046,0.23526,1.81094,1.60279,1.78338,1.87625e-05,1.87625e-05,1.87625e-05
7,71.3713,1.59382,1.48937,1.66903,0.5884,0.48042,0.52292,0.23729,1.80919,1.59503,1.78086,1.8515e-05,1.8515e-05,1.8515e-05
8,79.9207,1.58747,1.47599,1.6634,0.61394,0.48042,0.52935,0.24101,1.8097,1.58374,1.77896,1.82675e-05,1.82675e-05,1.82675e-05
9,88.4467,1.57919,1.46181,1.65971,0.5983,0.48223,0.5222,0.23746,1.81912,1.59191,1.78632,1.802e-05,1.802e-05,1.802e-05
10,96.8459,1.5818,1.47653,1.65988,0.61136,0.48055,0.52866,0.24284,1.81137,1.57384,1.77809,1.77725e-05,1.77725e-05,1.77725e-05
11,105.239,1.57012,1.45001,1.65084,0.63758,0.45474,0.52793,0.24352,1.80776,1.56684,1.77381,1.7525e-05,1.7525e-05,1.7525e-05
12,114.032,1.56677,1.44197,1.64741,0.61866,0.46475,0.53,0.24431,1.80636,1.56686,1.77197,1.72775e-05,1.72775e-05,1.72775e-05
13,122.572,1.57653,1.45548,1.65318,0.6329,0.46214,0.53713,0.24974,1.80589,1.55851,1.77122,1.703e-05,1.703e-05,1.703e-05
14,133.775,1.56613,1.44643,1.64795,0.65849,0.46475,0.53762,0.24852,1.79961,1.55756,1.76886,1.67825e-05,1.67825e-05,1.67825e-05
15,142.135,1.56993,1.43679,1.65351,0.66134,0.46475,0.53971,0.24977,1.7983,1.55351,1.76555,1.6535e-05,1.6535e-05,1.6535e-05
16,150.637,1.57139,1.44039,1.64483,0.67369,0.4636,0.54263,0.25237,1.79814,1.55327,1.76364,1.62875e-05,1.62875e-05,1.62875e-05
17,159.067,1.55835,1.42462,1.64689,0.68913,0.46214,0.54574,0.25467,1.79878,1.54535,1.762,1.604e-05,1.604e-05,1.604e-05
18,167.445,1.54719,1.41411,1.63885,0.6867,0.45782,0.54829,0.25684,1.79546,1.53926,1.75989,1.57925e-05,1.57925e-05,1.57925e-05
19,179.679,1.55536,1.42923,1.63511,0.67048,0.4622,0.5527,0.25904,1.79474,1.53472,1.75963,1.5545e-05,1.5545e-05,1.5545e-05
20,188.058,1.54971,1.41497,1.63292,0.68987,0.44721,0.55088,0.2588,1.79682,1.53211,1.76015,1.52975e-05,1.52975e-05,1.52975e-05
21,196.376,1.54389,1.41433,1.63495,0.69849,0.45431,0.55563,0.25775,1.80111,1.53585,1.76271,1.505e-05,1.505e-05,1.505e-05
22,204.726,1.53938,1.3993,1.63143,0.6874,0.45357,0.54848,0.25274,1.80823,1.54325,1.7686,1.48025e-05,1.48025e-05,1.48025e-05
23,213.07,1.54294,1.40527,1.62976,0.65513,0.46736,0.54839,0.25339,1.80404,1.53763,1.76775,1.4555e-05,1.4555e-05,1.4555e-05
24,221.373,1.53586,1.38903,1.61436,0.68226,0.45971,0.5481,0.2545,1.79906,1.53524,1.76129,1.43075e-05,1.43075e-05,1.43075e-05
25,229.745,1.54499,1.41671,1.62906,0.65528,0.46736,0.55218,0.25649,1.80589,1.53275,1.76829,1.406e-05,1.406e-05,1.406e-05
26,238.12,1.54256,1.38312,1.62687,0.65411,0.48387,0.56094,0.26171,1.7972,1.52594,1.75832,1.38125e-05,1.38125e-05,1.38125e-05
27,248.676,1.53816,1.39634,1.63127,0.66655,0.46997,0.55951,0.26408,1.79689,1.52222,1.75805,1.3565e-05,1.3565e-05,1.3565e-05
28,257.197,1.54117,1.37919,1.62662,0.63652,0.48009,0.55836,0.26346,1.79078,1.51881,1.75423,1.33175e-05,1.33175e-05,1.33175e-05
29,265.608,1.53181,1.37192,1.61969,0.64283,0.48564,0.56084,0.26184,1.79882,1.52134,1.75936,1.307e-05,1.307e-05,1.307e-05
30,274.045,1.54171,1.38943,1.62621,0.63076,0.48042,0.5572,0.25866,1.81038,1.5242,1.76664,1.28225e-05,1.28225e-05,1.28225e-05
31,282.454,1.51162,1.37552,1.60955,0.64355,0.48083,0.56329,0.26136,1.81138,1.52739,1.76515,1.2575e-05,1.2575e-05,1.2575e-05
32,290.956,1.54085,1.39157,1.62457,0.65,0.48004,0.56641,0.26323,1.80956,1.52191,1.76346,1.23275e-05,1.23275e-05,1.23275e-05
33,299.407,1.53052,1.37415,1.62425,0.65579,0.47257,0.55576,0.25816,1.81,1.53117,1.76863,1.208e-05,1.208e-05,1.208e-05
34,307.83,1.51808,1.37513,1.6096,0.64025,0.47781,0.56526,0.26376,1.80298,1.51875,1.75827,1.18325e-05,1.18325e-05,1.18325e-05
