epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8412,1.92062,2.47013,2.02885,0.24095,0.2864,0.18738,0.06101,2.25779,2.5522,2.58692,0.000331019,0.000331019,0.0672292
2,51.3331,1.8368,2.24026,1.98242,0.35631,0.2327,0.21026,0.078,2.08582,3.0661,2.49241,0.000661063,0.000661063,0.0342259
3,76.5515,1.861,2.2351,2.00251,0.29558,0.28162,0.21029,0.0737,2.24867,2.81306,2.4073,0.000987808,0.000987808,0.00121929
4,101.176,1.83728,2.21257,1.97261,0.38916,0.3389,0.3182,0.13296,1.92496,2.23915,2.17901,0.00098515,0.00098515,0.00098515
5,125.896,1.79888,2.15563,1.95004,0.40936,0.3515,0.32482,0.1347,1.83782,2.368,2.08278,0.0009802,0.0009802,0.0009802
6,150.68,1.78953,2.1001,1.93694,0.43617,0.36516,0.34358,0.14228,1.84165,2.59141,2.09539,0.00097525,0.00097525,0.00097525
7,175.358,1.78445,2.09432,1.93483,0.36837,0.34248,0.31824,0.12386,1.90124,2.2521,2.15222,0.0009703,0.0009703,0.0009703
8,200.008,1.78176,2.07168,1.93234,0.43919,0.38876,0.38772,0.16074,1.91595,2.22187,2.14116,0.00096535,0.00096535,0.00096535
9,224.662,1.74446,2.01141,1.89621,0.44244,0.39297,0.37667,0.16112,1.79083,2.09716,2.04916,0.0009604,0.0009604,0.0009604
10,249.305,1.74921,2.02706,1.90183,0.53504,0.36516,0.41959,0.18481,1.79827,2.02554,2.03892,0.00095545,0.00095545,0.00095545
11,273.991,1.74568,2.01346,1.89547,0.49307,0.43556,0.43548,0.19652,1.83603,1.99994,2.05447,0.0009505,0.0009505,0.0009505
12,298.719,1.72632,1.98839,1.90363,0.46816,0.39379,0.39243,0.17273,1.77832,1.9787,2.02709,0.00094555,0.00094555,0.00094555
13,323.435,1.73842,1.96056,1.87677,0.50006,0.38186,0.41693,0.18916,1.75409,2.05133,1.99474,0.0009406,0.0009406,0.0009406
14,348.105,1.69942,1.94654,1.86965,0.48805,0.42124,0.42486,0.199,1.75781,1.88074,2.02049,0.00093565,0.00093565,0.00093565
15,372.735,1.70924,1.94878,1.87666,0.45552,0.44272,0.43122,0.1939,1.77463,1.898,2.00351,0.0009307,0.0009307,0.0009307
16,397.384,1.69322,1.90876,1.8635,0.54191,0.44326,0.47894,0.22055,1.76911,1.77239,1.99931,0.00092575,0.00092575,0.00092575
17,422.044,1.70143,1.90438,1.86848,0.45729,0.47852,0.44319,0.20424,1.73452,1.89672,1.99778,0.0009208,0.0009208,0.0009208
18,446.72,1.67536,1.86423,1.84406,0.52049,0.42357,0.44837,0.209,1.70885,1.84241,1.98732,0.00091585,0.00091585,0.00091585
19,471.334,1.67599,1.87621,1.84723,0.47055,0.42124,0.41515,0.17757,1.76682,1.96061,1.99544,0.0009109,0.0009109,0.0009109
20,495.962,1.67158,1.83542,1.8467,0.52221,0.47255,0.48906,0.23415,1.7317,1.76789,1.98055,0.00090595,0.00090595,0.00090595
21,520.64,1.67812,1.84862,1.83906,0.5763,0.46778,0.5056,0.2325,1.74598,1.78775,1.94367,0.000901,0.000901,0.000901
22,545.273,1.68611,1.85838,1.83698,0.53319,0.43795,0.47187,0.20696,1.76137,1.86216,1.96763,0.00089605,0.00089605,0.00089605
23,569.891,1.64266,1.80727,1.81709,0.52684,0.477,0.47972,0.22299,1.71764,1.80264,1.93152,0.0008911,0.0008911,0.0008911
24,594.509,1.65761,1.8049,1.82137,0.51693,0.46609,0.46616,0.21971,1.70701,1.7685,1.94351,0.00088615,0.00088615,0.00088615
25,619.126,1.65209,1.80109,1.82332,0.51274,0.44391,0.45519,0.21924,1.66326,1.76792,1.89485,0.0008812,0.0008812,0.0008812
26,643.748,1.65716,1.77735,1.81278,0.52,0.47494,0.48772,0.22394,1.75714,1.80516,1.96349,0.00087625,0.00087625,0.00087625
27,668.337,1.65093,1.79092,1.81435,0.50742,0.46301,0.46375,0.20411,1.79848,1.75354,1.9924,0.0008713,0.0008713,0.0008713
28,692.964,1.64653,1.76813,1.80943,0.51248,0.48295,0.49837,0.23454,1.72634,1.71247,1.96453,0.00086635,0.00086635,0.00086635
29,717.636,1.63261,1.7383,1.79575,0.53599,0.47494,0.49361,0.22632,1.70932,1.72,1.95365,0.0008614,0.0008614,0.0008614
30,742.241,1.62528,1.7619,1.80689,0.51099,0.45704,0.46744,0.21316,1.73476,1.78982,1.98104,0.00085645,0.00085645,0.00085645
31,766.87,1.64633,1.75401,1.79992,0.4726,0.4821,0.45861,0.2264,1.68838,1.76977,1.92772,0.0008515,0.0008515,0.0008515
32,791.435,1.63719,1.73744,1.80438,0.53082,0.45227,0.48194,0.22195,1.68327,1.71777,1.94534,0.00084655,0.00084655,0.00084655
